packet,recv_time_epoch,send_time_epoch,recv_time_iso,send_time_iso,processing_time_us,packet_size_bytes,from_ip,from_port
163,1769499453.905472279,1769499453.905533552,2026-01-27T09:37:33.905472,2026-01-27T09:37:33.905534,61.27,64,192.168.10.20,36879
164,1769499453.908850193,1769499453.908910036,2026-01-27T09:37:33.908850,2026-01-27T09:37:33.908910,59.84,64,192.168.10.20,36879
165,1769499453.912329912,1769499453.912381172,2026-01-27T09:37:33.912330,2026-01-27T09:37:33.912381,51.26,64,192.168.10.20,36879
166,1769499453.915844679,1769499453.915898085,2026-01-27T09:37:33.915845,2026-01-27T09:37:33.915898,53.41,64,192.168.10.20,36879
167,1769499453.919449806,1769499453.919507027,2026-01-27T09:37:33.919450,2026-01-27T09:37:33.919507,57.22,64,192.168.10.20,36879
168,1769499453.923029184,1769499453.923081875,2026-01-27T09:37:33.923029,2026-01-27T09:37:33.923082,52.69,64,192.168.10.20,36879
169,1769499453.926406384,1769499453.926458359,2026-01-27T09:37:33.926406,2026-01-27T09:37:33.926458,51.98,64,192.168.10.20,36879
170,1769499453.929810286,1769499453.929863930,2026-01-27T09:37:33.929810,2026-01-27T09:37:33.929864,53.64,64,192.168.10.20,36879
171,1769499453.933191061,1769499453.933239698,2026-01-27T09:37:33.933191,2026-01-27T09:37:33.933240,48.64,64,192.168.10.20,36879
172,1769499453.936476231,1769499453.936527729,2026-01-27T09:37:33.936476,2026-01-27T09:37:33.936528,51.50,64,192.168.10.20,36879
173,1769499453.939843178,1769499453.939889908,2026-01-27T09:37:33.939843,2026-01-27T09:37:33.939890,46.73,64,192.168.10.20,36879
174,1769499453.943309069,1769499453.943358660,2026-01-27T09:37:33.943309,2026-01-27T09:37:33.943359,49.59,64,192.168.10.20,36879
175,1769499453.946724892,1769499453.946777821,2026-01-27T09:37:33.946725,2026-01-27T09:37:33.946778,52.93,64,192.168.10.20,36879
176,1769499453.950134039,1769499453.950185537,2026-01-27T09:37:33.950134,2026-01-27T09:37:33.950186,51.50,64,192.168.10.20,36879
177,1769499453.953556538,1769499453.953606367,2026-01-27T09:37:33.953557,2026-01-27T09:37:33.953606,49.83,64,192.168.10.20,36879
178,1769499453.957009077,1769499453.957067013,2026-01-27T09:37:33.957009,2026-01-27T09:37:33.957067,57.94,64,192.168.10.20,36879
179,1769499453.960660219,1769499453.960718155,2026-01-27T09:37:33.960660,2026-01-27T09:37:33.960718,57.94,64,192.168.10.20,36879
180,1769499453.964195490,1769499453.964245796,2026-01-27T09:37:33.964195,2026-01-27T09:37:33.964246,50.31,64,192.168.10.20,36879
181,1769499453.967595816,1769499453.967643976,2026-01-27T09:37:33.967596,2026-01-27T09:37:33.967644,48.16,64,192.168.10.20,36879
182,1769499453.970997095,1769499453.971044540,2026-01-27T09:37:33.970997,2026-01-27T09:37:33.971045,47.45,64,192.168.10.20,36879
183,1769499453.974377632,1769499453.974425554,2026-01-27T09:37:33.974378,2026-01-27T09:37:33.974426,47.92,64,192.168.10.20,36879
184,1769499453.977782011,1769499453.977834940,2026-01-27T09:37:33.977782,2026-01-27T09:37:33.977835,52.93,64,192.168.10.20,36879
185,1769499453.981245041,1769499453.981292725,2026-01-27T09:37:33.981245,2026-01-27T09:37:33.981293,47.68,64,192.168.10.20,36879
186,1769499453.984621048,1769499453.984675407,2026-01-27T09:37:33.984621,2026-01-27T09:37:33.984675,54.36,64,192.168.10.20,36879
187,1769499453.988123178,1769499453.988173008,2026-01-27T09:37:33.988123,2026-01-27T09:37:33.988173,49.83,64,192.168.10.20,36879
188,1769499453.991801023,1769499453.991856098,2026-01-27T09:37:33.991801,2026-01-27T09:37:33.991856,55.07,64,192.168.10.20,36879
189,1769499453.995384932,1769499453.995435476,2026-01-27T09:37:33.995385,2026-01-27T09:37:33.995435,50.54,64,192.168.10.20,36879
190,1769499453.998819828,1769499453.998873711,2026-01-27T09:37:33.998820,2026-01-27T09:37:33.998874,53.88,64,192.168.10.20,36879
191,1769499454.002327919,1769499454.002377510,2026-01-27T09:37:34.002328,2026-01-27T09:37:34.002378,49.59,64,192.168.10.20,36879
192,1769499454.005786896,1769499454.005845308,2026-01-27T09:37:34.005787,2026-01-27T09:37:34.005845,58.41,64,192.168.10.20,36879
193,1769499454.009219170,1769499454.009266853,2026-01-27T09:37:34.009219,2026-01-27T09:37:34.009267,47.68,64,192.168.10.20,36879
194,1769499454.012643099,1769499454.012702465,2026-01-27T09:37:34.012643,2026-01-27T09:37:34.012702,59.37,64,192.168.10.20,36879
195,1769499454.016034365,1769499454.016085386,2026-01-27T09:37:34.016034,2026-01-27T09:37:34.016085,51.02,64,192.168.10.20,36879
196,1769499454.019687891,1769499454.019737005,2026-01-27T09:37:34.019688,2026-01-27T09:37:34.019737,49.11,64,192.168.10.20,36879
197,1769499454.023328781,1769499454.023375034,2026-01-27T09:37:34.023329,2026-01-27T09:37:34.023375,46.25,64,192.168.10.20,36879
198,1769499454.026808023,1769499454.026854753,2026-01-27T09:37:34.026808,2026-01-27T09:37:34.026855,46.73,64,192.168.10.20,36879
