sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
132,ok,1769521223.592688084,1769521223.593282461,2026-01-27T15:40:23.592688,2026-01-27T15:40:23.593282,594.38,64,192.168.10.30,5005,
133,ok,1769521223.596134663,1769521223.596740007,2026-01-27T15:40:23.596135,2026-01-27T15:40:23.596740,605.34,64,192.168.10.30,5005,
134,ok,1769521223.599604130,1769521223.600215912,2026-01-27T15:40:23.599604,2026-01-27T15:40:23.600216,611.78,64,192.168.10.30,5005,
135,ok,1769521223.603057146,1769521223.603769302,2026-01-27T15:40:23.603057,2026-01-27T15:40:23.603769,712.16,64,192.168.10.30,5005,
136,ok,1769521223.606642246,1769521223.607306004,2026-01-27T15:40:23.606642,2026-01-27T15:40:23.607306,663.76,64,192.168.10.30,5005,
137,ok,1769521223.610233784,1769521223.610942364,2026-01-27T15:40:23.610234,2026-01-27T15:40:23.610942,708.58,64,192.168.10.30,5005,
138,ok,1769521223.613856077,1769521223.614485264,2026-01-27T15:40:23.613856,2026-01-27T15:40:23.614485,629.19,64,192.168.10.30,5005,
139,ok,1769521223.617310524,1769521223.617934227,2026-01-27T15:40:23.617311,2026-01-27T15:40:23.617934,623.70,64,192.168.10.30,5005,
140,ok,1769521223.620765209,1769521223.621361494,2026-01-27T15:40:23.620765,2026-01-27T15:40:23.621361,596.28,64,192.168.10.30,5005,
141,ok,1769521223.624171019,1769521223.624775887,2026-01-27T15:40:23.624171,2026-01-27T15:40:23.624776,604.87,64,192.168.10.30,5005,
142,ok,1769521223.627608299,1769521223.628200054,2026-01-27T15:40:23.627608,2026-01-27T15:40:23.628200,591.75,64,192.168.10.30,5005,
143,ok,1769521223.631002903,1769521223.631646156,2026-01-27T15:40:23.631003,2026-01-27T15:40:23.631646,643.25,64,192.168.10.30,5005,
144,ok,1769521223.634533882,1769521223.635154963,2026-01-27T15:40:23.634534,2026-01-27T15:40:23.635155,621.08,64,192.168.10.30,5005,
145,ok,1769521223.638035536,1769521223.638679028,2026-01-27T15:40:23.638036,2026-01-27T15:40:23.638679,643.49,64,192.168.10.30,5005,
146,ok,1769521223.641673803,1769521223.642356396,2026-01-27T15:40:23.641674,2026-01-27T15:40:23.642356,682.59,64,192.168.10.30,5005,
147,ok,1769521223.645249605,1769521223.645883083,2026-01-27T15:40:23.645250,2026-01-27T15:40:23.645883,633.48,64,192.168.10.30,5005,
